
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="2009.year#c.totalone_pf",="0.037***",="0.029***",="0.028***",="0.028***",="0.028***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.010)",="(0.010)",="(0.010)",="(0.010)",="(0.010)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totalone_pf",="0.022***",="0.021**",="0.021**",="0.021**",="0.020**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.008)",="(0.009)",="(0.009)",="(0.009)",="(0.009)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totalone_pf",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totalone_pf",="-0.008",="0.000",="-0.000",="-0.000",="-0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.008)",="(0.009)",="(0.009)",="(0.009)",="(0.009)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totalone_pf",="-0.020**",="-0.020**",="-0.022**",="-0.022**",="-0.022**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.010)",="(0.010)",="(0.010)",="(0.010)",="(0.010)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totalone_pf",="-0.036***",="-0.036***",="-0.037***",="-0.037***",="-0.037***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.011)",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totalone_pf",="-0.056***",="-0.039***",="-0.034**",="-0.034**",="-0.034**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.013)",="(0.014)",="(0.014)",="(0.014)",="(0.014)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totalone_pf",="-0.017",="-0.016",="-0.018",="-0.018",="-0.018",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.012)",="(0.013)",="(0.013)",="(0.013)",="(0.013)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totalone_pw",="",="",="",="",="",="0.136",="0.089",="0.089",="0.089",="0.089",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.087)",="(0.082)",="(0.082)",="(0.082)",="(0.082)",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totalone_pw",="",="",="",="",="",="0.052",="0.058",="0.058",="0.058",="0.058",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.081)",="(0.082)",="(0.082)",="(0.082)",="(0.082)",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totalone_pw",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totalone_pw",="",="",="",="",="",="-0.083",="-0.057",="-0.056",="-0.056",="-0.056",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.067)",="(0.063)",="(0.063)",="(0.063)",="(0.063)",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totalone_pw",="",="",="",="",="",="-0.158**",="-0.136*",="-0.136*",="-0.137*",="-0.137*",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.077)",="(0.076)",="(0.076)",="(0.076)",="(0.076)",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totalone_pw",="",="",="",="",="",="-0.305***",="-0.275***",="-0.274***",="-0.277***",="-0.277***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.076)",="(0.077)",="(0.078)",="(0.078)",="(0.078)",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totalone_pw",="",="",="",="",="",="0.137",="0.156",="0.153",="0.150",="0.150",="",="",="",="",="",="",="",="",="",=""
